Gesamtübersicht: Daten zum Kriminalitätsatlas (PKS 2022),,,,,,,,,,,,,,,,,,
Fallzahlen der Bezirke und Bezirksregionen,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
LOR-Schlüssel (Bezirksregion),Bezeichnung (Bezirksregion),"Straftaten 
-insgesamt-",Raub,"Straßenraub,
Handtaschen-raub","Körper-verletzungen 
-insgesamt-",Gefährl. und schwere Körper-verletzung,"Freiheits-beraubung, Nötigung,
Bedrohung, Nachstellung","Diebstahl 
-insgesamt-",Diebstahl von Kraftwagen,"Diebstahl 
an/aus Kfz","Fahrrad-
diebstahl","Wohnraum-
einbruch","Branddelikte 
-insgesamt-","Brand-
stiftung",Sach-beschädigung -insgesamt-,Sach-beschädigung durch Graffiti,Rauschgift-delikte,Kieztaten
010000,Mitte,"81,178",823,502,"7,717","2,346","3,097","34,999",413,"4,084","4,622",578,390,112,"6,169","1,195","3,317","17,852"
011001,Tiergarten Süd,"4,113",37,27,415,140,152,"1,574",17,195,306,28,27,7,335,48,227,894
011002,Regierungsviertel,"6,251",41,21,494,148,164,"2,809",11,172,269,32,16,4,435,121,177,"1,127"
011003,Alexanderplatz,"18,999",163,99,"1,827",512,567,"9,041",50,618,852,108,69,13,"1,342",321,692,"3,803"
011004,Brunnenstraße Süd,"3,759",64,47,313,107,124,"1,740",33,211,422,42,14,3,450,100,97,954
012005,Moabit West,"6,192",43,23,559,145,255,"2,105",54,376,354,48,44,14,497,72,290,"1,279"
012006,Moabit Ost,"9,871",88,60,821,221,359,"3,698",25,222,444,70,47,13,544,103,556,"1,723"
013007,Osloer Straße,"6,203",76,35,669,223,294,"2,896",41,366,282,54,24,12,441,67,151,"1,473"
013008,Brunnenstraße Nord,"7,543",91,53,705,245,272,"3,163",47,418,383,50,46,16,677,185,319,"1,653"
014009,Parkviertel,"6,608",65,35,724,207,341,"3,105",77,705,409,74,42,15,481,46,172,"2,070"
014010,Wedding Zentrum,"8,553",104,63,998,328,466,"3,226",28,502,777,70,56,13,773,111,517,"2,270"
019900,"Bezirk (Mi), nicht zuzuordnen","3,086",51,39,192,70,103,"1,642",30,299,124,2,5,2,194,21,119,606
